ip_address,city,latitude,longitude,country
198.244.88.250,San Diego,32.7174202,-117.1627728,United States
38.54.228.25,Los Angeles (Downtown Los Angeles),34.0569579,-118.232204,United States
154.12.194.175,Washington D.C. (Northwest Washington),38.8936954,-77.0313398,United States
77.68.82.252,Gloucester (The Docks),51.8622721,-2.2497457,United Kingdom
45.60.114.180,London,51.5073219,-0.1276474,United Kingdom
104.102.70.85,Dallas,32.7762719,-96.7968559,United States
93.22.138.209,Cazères-sur-l'Adour,43.7624791,-0.3161192,France
133.162.209.72,Chiyoda,35.6938097,139.7532163,Japan
104.66.76.95,Istanbul,41.0091982,28.9662187,Turkey
173.249.190.177,Sterling,39.003809849999996,-77.40832792370676,United States
