ip_address,success,version,cert_issuer,company
104.102.70.85,True,TLSv1.2,DigiCert TLS RSA SHA256 2020 CA1,"NMI Holdings, Inc."
104.66.76.95,True,TLSv1.2,DigiCert SHA2 Extended Validation Server CA,Sun Life Assurance Company of Canada
198.244.88.250,True,TLSv1.2,UBNT-24:5A:4C:EC:B4:8B,Ubiquiti Networks Inc.
133.162.209.72,True,TLSv1.2,Cybertrust Japan SureServer CA G4,"Amada Co.,Ltd."
45.60.114.180,True,TLSv1.2,GlobalSign Atlas R3 DV TLS CA 2022 Q1,
77.68.82.252,True,TLSv1.2,R3,
154.12.194.175,False,,,
173.249.190.177,False,,,
38.54.228.25,False,,,
93.22.138.209,False,,,
